Approved Symbol	EntrezGene ID
AD5	8081
ADA	100
ADAD1	132612
ADAD1P1	100422386
ADAD1P2	100422407
ADAD2	161931
ADAL	161823
ADAM1A	8759
ADAM1B	100420505
ADAM2	2515
ADAM3A	1587
ADAM3B	1596
ADAM5	255926
ADAM6	8755
ADAM7	8756
ADAM8	101
ADAM9	8754
ADAM10	102
ADAM11	4185
ADAM12	8038
ADAM15	8751
ADAM17	6868
ADAM18	8749
ADAM19	8728
ADAM20	8748
ADAM20P1	317760
ADAM20P2	100533671
ADAM20P3	644325
ADAM21	8747
ADAM21P1	145241
ADAM22	53616
ADAM23	8745
ADAM24P	646479
ADAM28	10863
ADAM29	11086
ADAM30	11085
ADAM32	203102
ADAM33	80332
ADAMDEC1	27299
ADAMTS1	9510
ADAMTS2	9509
ADAMTS3	9508
ADAMTS4	9507
ADAMTS5	11096
ADAMTS6	11174
ADAMTS7	11173
ADAMTS7P1	390660
ADAMTS7P3	400406
ADAMTS7P4	642935
ADAMTS8	11095
ADAMTS9	56999
ADAMTS9-AS1	101929335
ADAMTS9-AS2	100507098
ADAMTS10	81794
ADAMTS12	81792
ADAMTS13	11093
ADAMTS14	140766
ADAMTS15	170689
ADAMTS16	170690
ADAMTS17	170691
ADAMTS18	170692
ADAMTS19	171019
ADAMTS19-AS1	103689846
ADAMTS20	80070
ADAMTSL1	92949
ADAMTSL2	9719
ADAMTSL3	57188
ADAMTSL4	54507
ADAMTSL4-AS1	574406
ADAMTSL5	339366
ADAP1	11033
ADAP2	55803
ADAR	103
ADARB1	104
ADARB2	105
ADARB2-AS1	642394
ADAT1	23536
ADAT2	134637
ADAT3	113179
ADCK1	57143
ADCK2	90956
ADCK5	203054
ADCP1	106
ADCY1	107
ADCY2	108
ADCY3	109
ADCY4	196883
ADCY5	111
ADCY6	112
ADCY7	113
ADCY8	114
ADCY9	115
ADCY10	55811
ADCY10P1	221442
ADCYAP1	116
ADCYAP1R1	117
ADD1	118
ADD2	119
ADD3	120
ADD3-AS1	100505933
ADFN	122
ADGB	79747
ADGRA1	84435
ADGRA1-AS1	100128127
ADGRA2	25960
ADGRA3	166647
ADGRB1	575
ADGRB2	576
ADGRB3	577
ADGRD1	283383
ADGRD2	347088
ADGRE1	2015
ADGRE2	30817
ADGRE3	84658
ADGRE4P	326342
ADGRE5	976
ADGRF1	266977
ADGRF2	222611
ADGRF3	165082
ADGRF4	221393
ADGRF5	221395
ADGRF5P1	389740
ADGRF5P2	441416
ADGRG1	9289
ADGRG2	10149
ADGRG3	222487
ADGRG4	139378
ADGRG5	221188
ADGRG6	57211
ADGRG7	84873
ADGRL1	22859
ADGRL2	23266
ADGRL3	23284
ADGRL3-AS1	101927186
ADGRL4	64123
ADGRV1	84059
ADH1A	124
ADH1B	125
ADH1C	126
ADH4	127
ADH5	128
ADH5P2	343296
ADH5P3	100131810
ADH5P4	642443
ADH6	130
ADH7	131
ADHFE1	137872
ADI1	55256
ADI1P1	100130936
ADI1P2	100288971
ADI1P3	100288129
ADIG	149685
ADIPOQ	9370
ADIPOQ-AS1	100874095
ADIPOR1	51094
ADIPOR1P1	645220
ADIPOR1P2	390503
ADIPOR2	79602
ADIRF	10974
ADIRF-AS1	100133190
ADK	132
ADM	133
ADM2	79924
ADM5	199800
ADNP	23394
ADNP-AS1	101927631
ADNP2	22850
ADO	84890
ADORA1	134
ADORA2A	135
ADORA2A-AS1	646023
ADORA2B	136
ADORA2BP1	137
ADORA3	140
ADPGK	83440
ADPGK-AS1	100287559
ADPRH	141
ADPRHL1	113622
ADPRHL2	54936
ADPRM	56985
ADRA1A	148
ADRA1B	147
ADRA1D	146
ADRA2A	150
ADRA2B	151
ADRA2C	152
ADRB1	153
ADRB2	154
ADRB3	155
ADRM1	11047
ADSL	158
ADSS	159
ADSSL1	122622
ADTRP	84830
AEBP1	165
AEBP2	121536
AEN	64782
AES	166
AF8T	169
AFA	170
AFAP1	60312
AFAP1-AS1	84740
AFAP1L1	134265
AFAP1L2	84632
AFD1	171
AFDN	4301
AFDN-AS1	653483
AFF1	4299
AFF2	2334
AFF2-IT1	100874269
AFF3	3899
AFF4	27125
AFG3L1P	172
AFG3L2	10939
AFG3L2P1	347028
AFM	173
AFMID	125061
AFP	174
AFTPH	54812
AGA	175
AGAP1	116987
AGAP1-IT1	100506749
AGAP2	116986
AGAP2-AS1	100130776
AGAP3	116988
AGAP4	119016
AGAP5	729092
AGAP6	414189
AGAP7P	653268
AGAP9	642517
AGAP10P	653234
AGAP11	119385
AGAP12P	414224
AGAP13P	728005
AGAP14	653259
AGBL1	123624
AGBL1-AS1	727915
AGBL2	79841
AGBL3	340351
AGBL4	84871
AGBL4-IT1	100874313
AGBL5	60509
AGBL5-AS1	100874031
AGBL5-IT1	106481744
AGER	177
AGFG1	3267
AGFG2	3268
AGGF1	55109
AGGF1P1	100132380
AGGF1P2	644435
AGGF1P3	391552
AGGF1P4	100129351
AGGF1P5	100128103
AGGF1P6	106481737
AGGF1P7	100132606
AGGF1P8	100128804
AGGF1P9	100127958
AGGF1P10	100288774
AGK	55750
AGKP1	359793
AGL	178
AGMAT	79814
AGMO	392636
AGMX2	179
AGO1	26523
AGO2	27161
AGO3	192669
AGO4	192670
AGPAT1	10554
AGPAT2	10555
AGPAT3	56894
AGPAT4	56895
AGPAT4-IT1	79992
AGPAT5	55326
AGPAT5P1	646231
AGPS	8540
AGR2	10551
AGR3	155465
AGRN	375790
AGRP	181
AGT	183
AGTPBP1	23287
AGTR1	185
AGTR2	186
AGTRAP	57085
AGXT	189
AGXT2	64902
AHCTF1	25909
AHCTF1P1	285116
AHCY	191
AHCYL1	10768
AHCYL2	23382
AHCYP1	340844
AHCYP2	392387
AHCYP3	402093
AHCYP4	129560
AHCYP5	391470
AHCYP6	100419714
AHCYP7	645486
AHCYP8	107063538
AHDC1	27245
AHI1	54806
AHNAK	79026
AHNAK2	113146
AHR	196
AHRR	57491
AHSA1	10598
AHSA2	130872
AHSG	197
AHSP	51327
AIC	192
AICDA	57379
AIDA	64853
AIF1	199
AIF1L	83543
AIFM1	9131
AIFM1P1	645120
AIFM2	84883
AIFM3	150209
AIG1	51390
AIG1P1	106479028
AIH3	201
AIM1	202
AIM1L	55057
AIM2	9447
AIMP1	9255
AIMP1P1	170547
AIMP1P2	100873064
AIMP2	7965
AIP	9049
AIPL1	23746
AIRE	326
AIRN	100271873
AIS1	373071
AIS2	378426
AIS3	378427
AJAP1	55966
AJUBA	84962
AK1	203
AK2	204
AK2P1	266920
AK2P2	339736
AK3	50808
AK3P2	100419074
AK3P3	100419075
AK3P4	100129959
AK3P5	100288319
AK3P6	100873789
AK4	205
AK4P1	206
AK4P2	100132104
AK4P3	645619
AK4P4	100128705
AK4P5	100526416
AK4P6	649288
AK5	26289
AK6	102157402
AK6P1	100132086
AK6P2	100128817
AK7	122481
AK8	158067
AK9	221264
AKAIN1	642597
AKAP1	8165
AKAP2	11217
AKAP3	10566
AKAP4	8852
AKAP5	9495
AKAP6	9472
AKAP7	9465
AKAP8	10270
AKAP8L	26993
AKAP8P1	646114
AKAP9	10142
AKAP10	11216
AKAP11	11215
AKAP12	9590
AKAP13	11214
AKAP14	158798
AKAP17A	8227
AKAP17BP	139516
AKIP1	56672
AKIRIN1	79647
AKIRIN1P1	100418731
AKIRIN1P2	106480306
AKIRIN2	55122
AKIRIN2P1	100216487
AKNA	80709
AKNAD1	254268
AKR1A1	10327
AKR1B1	231
AKR1B1P1	401982
AKR1B1P2	236
AKR1B1P3	729347
AKR1B1P4	390402
AKR1B1P5	390482
AKR1B1P6	100129769
AKR1B1P7	126242
AKR1B1P8	392525
AKR1B10	57016
AKR1B10P1	340888
AKR1B10P2	643582
AKR1B15	441282
AKR1C1	1645
AKR1C2	1646
AKR1C3	8644
AKR1C4	1109
AKR1C5P	100996684
AKR1C6P	389932
AKR1C7P	648947
AKR1C8P	340811
AKR1D1	6718
AKR1D1P1	80701
AKR1E2	83592
AKR7A2	8574
AKR7A2P1	246182
AKR7A3	22977
AKR7L	246181
AKT1	207
AKT1S1	84335
AKT2	208
AKT3	10000
AKT3-IT1	100874263
AKTIP	64400
ALAD	210
ALAS1	211
ALAS2	212
ALB	213
ALCAM	214
ALDH1A1	216
ALDH1A2	8854
ALDH1A3	220
ALDH1B1	219
ALDH1L1	10840
ALDH1L1-AS1	100874204
ALDH1L1-AS2	100862662
ALDH1L2	160428
ALDH2	217
ALDH3A1	218
ALDH3A2	224
ALDH3B1	221
ALDH3B2	222
ALDH4A1	8659
ALDH5A1	7915
ALDH6A1	4329
ALDH7A1	501
ALDH7A1P1	541
ALDH7A1P2	542
ALDH7A1P3	543
ALDH7A1P4	544
ALDH8A1	64577
ALDH9A1	223
ALDH16A1	126133
ALDH18A1	5832
ALDOA	226
ALDOAP1	391538
ALDOAP2	228
ALDOB	229
ALDOC	230
ALG1	56052
ALG1L	200810
ALG1L2	644974
ALG1L3P	100132066
ALG1L5P	647415
ALG1L6P	339879
ALG1L7P	728263
ALG1L8P	645015
ALG1L9P	285407
ALG1L10P	106479037
ALG1L11P	106480789
ALG1L12P	100421097
ALG1L13P	106479038
ALG1L14P	100996649
ALG1L15P	730086
ALG2	85365
ALG3	10195
ALG3P1	442131
ALG5	29880
ALG6	29929
ALG8	79053
ALG9	79796
ALG9-IT1	100874303
ALG10	84920
ALG10B	144245
ALG11	440138
ALG12	79087
ALG13	79868
ALG13-AS1	106478971
ALG14	199857
ALK	238
ALKBH1	8846
ALKBH2	121642
ALKBH3	221120
ALKBH3-AS1	100507300
ALKBH4	54784
ALKBH5	54890
ALKBH6	84964
ALKBH7	84266
ALKBH8	91801
ALLC	55821
ALMS1	7840
ALMS1-IT1	100874291
ALMS1P1	200420
ALOX5	240
ALOX5AP	241
ALOX12	239
ALOX12-AS1	100506713
ALOX12B	242
ALOX12P1	243
ALOX12P2	245
ALOX15	246
ALOX15B	247
ALOX15P1	100652883
ALOX15P2	642959
ALOXE3	59344
ALOXE3P1	100420216
ALPI	248
ALPK1	80216
ALPK2	115701
ALPK3	57538
ALPL	249
ALPP	250
ALPPL2	251
ALPPP	260330
ALS2	57679
ALS2CL	259173
ALS2CR11	151254
ALS2CR12	130540
ALS3	253
ALS5	255
ALS7	406238
ALX1	8092
ALX3	257
ALX4	60529
ALYREF	10189
AMACR	23600
AMBN	258
AMBP	259
AMBRA1	55626
AMCN	261
AMD1	262
AMD1P1	100133024
AMD1P2	263
AMD1P3	728931
AMD1P4	100129761
AMDHD1	144193
AMDHD2	51005
AMELX	265
AMELY	266
AMER1	139285
AMER2	219287
AMER3	205147
AMFR	267
AMH	268
AMHR2	269
AMIGO1	57463
AMIGO2	347902
AMIGO3	386724
AMLCR2	9163
AMMECR1	9949
AMMECR1-IT1	100874352
AMMECR1L	83607
AMMECR1LP1	100420921
AMN	81693
AMN1	196394
AMOT	154796
AMOTL1	154810
AMOTL2	51421
AMPD1	270
AMPD2	271
AMPD3	272
AMPH	273
AMT	275
AMTN	401138
AMY1A	276
AMY1B	277
AMY1C	278
AMY2A	279
AMY2B	280
AMYP1	281
AMZ1	155185
AMZ2	51321
AMZ2P1	201283
AMZ2P2	100421018
ANAPC1	64682
ANAPC1P1	100286979
ANAPC2	29882
ANAPC4	29945
ANAPC5	51433
ANAPC7	51434
ANAPC10	10393
ANAPC10P1	729198
ANAPC11	51529
ANAPC13	25847
ANAPC15	25906
ANAPC16	119504
ANCR	282
ANG	283
ANGEL1	23357
ANGEL2	90806
ANGPT1	284
ANGPT2	285
ANGPT4	51378
ANGPTL1	9068
ANGPTL2	23452
ANGPTL3	27329
ANGPTL4	51129
ANGPTL5	253935
ANGPTL6	83854
ANGPTL7	10218
ANGPTL8	55908
ANHX	647589
ANIB1	116833
ANIB2	449013
ANIB3	497657
ANIB4	724058
ANK1	286
ANK2	287
ANK3	288
ANKAR	150709
ANKDD1A	348094
ANKDD1B	728780
ANKEF1	63926
ANKFN1	162282
ANKFY1	51479
ANKH	56172
ANKHD1	54882
ANKHD1-EIF4EBP3	404734
ANKIB1	54467
ANKK1	255239
ANKLE1	126549
ANKLE2	23141
ANKMY1	51281
ANKMY2	57037
ANKRA2	57763
ANKRD1	27063
ANKRD2	26287
ANKRD6	22881
ANKRD7	56311
ANKRD9	122416
ANKRD10	55608
ANKRD10-IT1	100505494
ANKRD11	29123
ANKRD12	23253
ANKRD13A	88455
ANKRD13B	124930
ANKRD13C	81573
ANKRD13D	338692
ANKRD16	54522
ANKRD17	26057
ANKRD18A	253650
ANKRD18B	441459
ANKRD18CP	101926917
ANKRD18DP	348840
ANKRD18EP	100131031
ANKRD19P	138649
ANKRD20A1	84210
ANKRD20A2	441430
ANKRD20A3	441425
ANKRD20A4	728747
ANKRD20A5P	440482
ANKRD20A6P	728157
ANKRD20A7P	653436
ANKRD20A8P	729171
ANKRD20A9P	284232
ANKRD20A10P	100421422
ANKRD20A11P	391267
ANKRD20A12P	100874392
ANKRD20A13P	100132733
ANKRD20A14P	100533719
ANKRD20A15P	100533720
ANKRD20A16P	100421427
ANKRD20A17P	100421363
ANKRD20A18P	391269
ANKRD20A19P	400110
ANKRD20A20P	728788
ANKRD20A21P	102723552
ANKRD22	118932
ANKRD23	200539
ANKRD24	170961
ANKRD26	22852
ANKRD26P1	124149
ANKRD26P2	646929
ANKRD26P3	100101938
ANKRD26P4	100873882
ANKRD27	84079
ANKRD28	23243
ANKRD29	147463
ANKRD30A	91074
ANKRD30B	374860
ANKRD30BL	554226
ANKRD30BP1	642460
ANKRD30BP2	149992
ANKRD30BP3	338579
ANKRD31	256006
ANKRD33	341405
ANKRD33B	651746
ANKRD33B-AS1	100874247
ANKRD34A	284615
ANKRD34B	340120
ANKRD34C	390616
ANKRD34C-AS1	729911
ANKRD35	148741
ANKRD36	375248
ANKRD36B	57730
ANKRD36BP1	84832
ANKRD36BP2	645784
ANKRD36C	400986
ANKRD36P1	100132420
ANKRD37	353322
ANKRD39	51239
ANKRD40	91369
ANKRD42	338699
ANKRD44	91526
ANKRD44-IT1	101927547
ANKRD45	339416
ANKRD46	157567
ANKRD49	54851
ANKRD50	57182
ANKRD52	283373
ANKRD53	79998
ANKRD54	129138
ANKRD54P1	100419962
ANKRD55	79722
ANKRD57P1	100131984
ANKRD60	140731
ANKRD61	100310846
ANKRD62	342850
ANKRD62P1	107080639
ANKRD62P1-PARP4P3	23783
ANKRD63	100131244
ANKRD65	441869
ANKRD66	100287718
ANKS1A	23294
ANKS1B	56899
ANKS3	124401
ANKS4B	257629
ANKS6	203286
ANKUB1	389161
ANKZF1	55139
ANLN	54443
ANO1	55107
ANO1-AS1	100873981
ANO1-AS2	100009613
ANO2	57101
ANO3	63982
ANO4	121601
ANO5	203859
ANO6	196527
ANO7	50636
ANO7L1	101927546
ANO8	57719
ANO9	338440
ANO10	55129
ANOP1	289
ANOS1	3730
ANOS2P	3734
ANP32A	8125
ANP32A-IT1	80035
ANP32AP1	723972
ANP32B	10541
ANP32BP1	646791
ANP32BP2	100130708
ANP32BP3	100652899
ANP32C	23520
ANP32D	23519
ANP32E	81611
ANPEP	290
ANTXR1	84168
ANTXR2	118429
ANTXRL	195977
ANTXRLP1	100996567
ANXA1	301
ANXA2	302
ANXA2P1	303
ANXA2P2	304
ANXA2P3	305
ANXA2R	389289
ANXA3	306
ANXA4	307
ANXA5	308
ANXA6	309
ANXA7	310
ANXA8	653145
ANXA8L1	728113
ANXA9	8416
ANXA10	11199
ANXA11	311
ANXA13	312
AOAH	313
AOAH-IT1	100874264
AOC1	26
AOC2	314
AOC3	8639
AOC4P	90586
AOX1	316
AOX2P	344454
AOX3P	107126360
AP1AR	55435
AP1B1	162
AP1B1P1	23782
AP1B1P2	23781
AP1G1	164
AP1G2	8906
AP1M1	8907
AP1M2	10053
AP1S1	1174
AP1S2	8905
AP1S2P1	106480305
AP1S3	130340
AP2A1	160
AP2A2	161
AP2B1	163
AP2M1	1173
AP2S1	1175
AP3B1	8546
AP3B2	8120
AP3D1	8943
AP3M1	26985
AP3M2	10947
AP3S1	1176
AP3S2	10239
AP4B1	10717
AP4B1-AS1	100287722
AP4E1	23431
AP4M1	9179
AP4S1	11154
AP5B1	91056
AP5M1	55745
AP5S1	55317
AP5Z1	9907
APAF1	317
APBA1	320
APBA2	321
APBA3	9546
APBB1	322
APBB1IP	54518
APBB2	323
APBB3	10307
APC	324
APC2	10297
APCDD1	147495
APCDD1L	164284
APCDD1L-AS1	149773
APCS	325
APEH	327
APELA	100506013
APEX1	328
APEX2	27301
APH1A	51107
APH1B	83464
API5	8539
API5P1	642812
API5P2	728664
APIP	51074
APITD1	378708
APITD1-CORT	100526739
APLF	200558
APLN	8862
APLNR	187
APLP1	333
APLP2	334
APMAP	57136
APOA1	335
APOA1-AS	104326055
APOA2	336
APOA4	337
APOA5	116519
APOB	338
APOBEC1	339
APOBEC2	10930
APOBEC3A	200315
APOBEC3AP1	105377532
APOBEC3A_B	100913187
APOBEC3B	9582
APOBEC3B-AS1	100874530
APOBEC3C	27350
APOBEC3D	140564
APOBEC3F	200316
APOBEC3G	60489
APOBEC3H	164668
APOBEC4	403314
APOBR	55911
APOC1	341
APOC1P1	342
APOC2	344
APOC3	345
APOC4	346
APOC4-APOC2	100533990
APOD	347
APOE	348
APOF	319
APOH	350
APOL1	8542
APOL2	23780
APOL3	80833
APOL4	80832
APOL5	80831
APOL6	80830
APOLD1	81575
APOM	55937
APOO	79135
APOOL	139322
APOOP1	100286948
APOOP2	100129005
APOOP3	100131528
APOOP4	100128725
APOOP5	644649
APOPT1	84334
APP	351
APPBP2	10513
APPL1	26060
APPL2	55198
APRT	353
APTR	100505854
APTX	54840
AQP1	358
AQP2	359
AQP3	360
AQP4	361
AQP4-AS1	147429
AQP5	362
AQP6	363
AQP7	364
AQP7P1	375719
AQP7P2	389756
AQP7P3	441432
AQP7P4	100132938
AQP7P5	102724655
AQP8	343
AQP9	366
AQP10	89872
AQP11	282679
AQP12A	375318
AQP12B	653437
AQR	9716
AR	367
ARAF	369
ARAFP1	100421741
ARAFP2	644000
ARAFP3	285893
ARAP1	116985
ARAP1-AS1	100874075
ARAP1-AS2	100506020
ARAP2	116984
ARAP3	64411
ARC	23237
ARCN1	372
AREG	374
AREL1	9870
ARF1	375
ARF1P1	442334
ARF1P2	100420012
ARF1P3	442396
ARF3	377
ARF4	378
ARF4-AS1	106144532
ARF4P1	380
ARF4P2	170485
ARF4P3	390423
ARF4P4	100129023
ARF4P5	100316867
ARF5	381
ARF6	382
ARFGAP1	55738
ARFGAP2	84364
ARFGAP3	26286
ARFGEF1	10565
ARFGEF2	10564
ARFGEF3	57221
ARFIP1	27236
ARFIP2	23647
ARFRP1	10139
ARG1	383
ARG2	384
ARGFX	503582
ARGFXP1	503583
ARGFXP2	503640
ARGLU1	55082
ARHGAP1	392
ARHGAP4	393
ARHGAP5	394
ARHGAP5-AS1	84837
ARHGAP6	395
ARHGAP8	23779
ARHGAP9	64333
ARHGAP10	79658
ARHGAP11A	9824
ARHGAP11B	89839
ARHGAP12	94134
ARHGAP15	55843
ARHGAP16P	319102
ARHGAP17	55114
ARHGAP18	93663
ARHGAP19	84986
ARHGAP19-SLIT1	100533184
ARHGAP20	57569
ARHGAP21	57584
ARHGAP22	58504
ARHGAP22-IT1	100689073
ARHGAP23	57636
ARHGAP23P1	102577425
ARHGAP24	83478
ARHGAP25	9938
ARHGAP26	23092
ARHGAP26-AS1	100874239
ARHGAP26-IT1	100874372
ARHGAP27	201176
ARHGAP28	79822
ARHGAP29	9411
ARHGAP30	257106
ARHGAP31	57514
ARHGAP31-AS1	100874246
ARHGAP32	9743
ARHGAP33	115703
ARHGAP35	2909
ARHGAP36	158763
ARHGAP39	80728
ARHGAP40	343578
ARHGAP42	143872
ARHGAP42P1	100887075
ARHGAP42P2	100130693
ARHGAP42P3	266698
ARHGAP42P4	254398
ARHGAP42P5	100128514
ARHGAP44	9912
ARHGAP45	23526
ARHGDIA	396
ARHGDIB	397
ARHGDIG	398
ARHGEF1	9138
ARHGEF2	9181
ARHGEF3	50650
ARHGEF3-AS1	100874200
ARHGEF4	50649
ARHGEF5	7984
ARHGEF6	9459
ARHGEF7	8874
ARHGEF7-AS1	100874226
ARHGEF7-AS2	100874238
ARHGEF7-IT1	100874371
ARHGEF9	23229
ARHGEF9-IT1	100874355
ARHGEF10	9639
ARHGEF10L	55160
ARHGEF11	9826
ARHGEF12	23365
ARHGEF15	22899
ARHGEF16	27237
ARHGEF17	9828
ARHGEF18	23370
ARHGEF19	128272
ARHGEF19-AS1	100874233
ARHGEF25	115557
ARHGEF26	26084
ARHGEF26-AS1	100507524
ARHGEF28	64283
ARHGEF33	100271715
ARHGEF34P	728377
ARHGEF35	445328
ARHGEF37	389337
ARHGEF38	54848
ARHGEF38-IT1	100874374
ARHGEF39	84904
ARHGEF40	55701
ARID1A	8289
ARID1B	57492
ARID2	196528
ARID3A	1820
ARID3B	10620
ARID3C	138715
ARID4A	5926
ARID4B	51742
ARID4B-IT1	100874336
ARID5A	10865
ARID5B	84159
ARIH1	25820
ARIH2	10425
ARIH2OS	646450
ARIH2P1	390844
ARL1	400
ARL2	402
ARL2-SNX15	100528018
ARL2BP	23568
ARL2BPP1	399666
ARL2BPP2	643898
ARL2BPP3	646879
ARL2BPP4	100130265
ARL2BPP5	100874420
ARL2BPP6	100874421
ARL2BPP7	100131629
ARL2BPP8	100131784
